Shop Name,Product Name,Product Category,Quantity Sold,Price Per Unit,Total Sales
Urban Tech,Wireless Mouse,Tech,2,25.00,50.00
Daily Grocer,Organic Milk,Daily Use,5,4.50,22.50
The Snack Shack,Potato Chips,Snacks,12,2.99,35.88
Metro Electronics,USB Cable,Tech,8,8.99,71.92
Pantry Essentials,Dish Soap,Household,3,3.75,11.25
Urban Tech,Bluetooth Headphones,Tech,1,45.00,45.00
Daily Grocer,Fresh Bread,Daily Use,10,2.25,22.50
The Snack Shack,Chocolate Bar,Snacks,20,1.50,30.00
Metro Electronics,HDMI Cable,Tech,4,12.99,51.96
Pantry Essentials,Laundry Detergent,Household,2,9.99,19.98
Urban Tech,Laptop Stand,Tech,1,35.50,35.50
Daily Grocer,Orange Juice,Daily Use,6,5.99,35.94
The Snack Shack,Granola Bar,Snacks,15,1.99,29.85
Metro Electronics,Phone Charger,Tech,10,14.99,149.90
Pantry Essentials,Paper Towels,Household,8,6.50,52.00
Urban Tech,Keyboard,Tech,3,55.00,165.00
Daily Grocer,Eggs,Daily Use,7,3.99,27.93
The Snack Shack,Popcorn,Snacks,9,3.49,31.41
Metro Electronics,Webcam,Tech,2,49.99,99.98
Pantry Essentials,Trash Bags,Household,5,7.25,36.25
Urban Tech,Mouse Pad,Tech,6,9.99,59.94
Daily Grocer,Butter,Daily Use,4,4.75,19.00
The Snack Shack,Candy Mix,Snacks,18,2.25,40.50
Metro Electronics,External Hard Drive,Tech,1,89.99,89.99
Pantry Essentials,Sponges,Household,10,2.99,29.90
Urban Tech,Monitor,Tech,1,199.99,199.99
Daily Grocer,Cheese,Daily Use,3,6.50,19.50
The Snack Shack,Pretzels,Snacks,11,2.75,30.25
Metro Electronics,Laptop Bag,Tech,2,29.99,59.98
Pantry Essentials,All-Purpose Cleaner,Household,4,5.49,21.96
Urban Tech,Wireless Keyboard,Tech,2,42.00,84.00
Daily Grocer,Yogurt,Daily Use,12,1.99,23.88
The Snack Shack,Cookies,Snacks,14,3.99,55.86
Metro Electronics,Speaker System,Tech,1,75.00,75.00
Pantry Essentials,Broom,Household,1,12.99,12.99
Urban Tech,USB Hub,Tech,5,19.99,99.95
Daily Grocer,Coffee,Daily Use,8,8.99,71.92
The Snack Shack,Trail Mix,Snacks,10,4.49,44.90
Metro Electronics,Gaming Mouse,Tech,3,39.99,119.97
Pantry Essentials,Mop,Household,2,15.50,31.00
Urban Tech,Webcam Cover,Tech,15,5.99,89.85
Daily Grocer,Tea Bags,Daily Use,6,4.25,25.50
The Snack Shack,Beef Jerky,Snacks,7,6.99,48.93
Metro Electronics,Screen Protector,Tech,12,9.99,119.88
Pantry Essentials,Vacuum Bags,Household,3,8.75,26.25
Urban Tech,Laptop Cooler,Tech,1,24.99,24.99
Daily Grocer,Cereal,Daily Use,9,4.99,44.91
The Snack Shack,Gummy Bears,Snacks,16,1.75,28.00
Metro Electronics,Power Bank,Tech,4,29.99,119.96
